Table 10: Summary of Monthly Import and Export of Fish and Fishery Products,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2020,21298.340254999996,39873.974728,214.92646618924365,85809.11018900001,35504.31863,191.37339052994818,185.5238
Jan,2517.88266,4796.480581,26.440927566031707,7859.422420000001,3284.881509,18.10813419875408,181.40364285714287
Feb,2510.194332,4333.121286,23.865688819515885,5350.724300000001,2165.736949,11.928307720524247,181.56280000000004
Mar,1948.7327699999996,2915.047878,15.752189426504357,8381.351779,3307.328342,17.87197491060577,185.05667999999997
Apr,721.8587600000002,1289.680008,6.67932412752411,8010.88465,3610.328229,18.698089680119388,193.08540555555555
May,1156.200085,2329.292673,12.398754901281139,8780.71968,3669.260776,19.531364846442653,187.8650470588235
Jun,2606.3356819999995,5063.32211,27.22881920950975,11212.02171,4215.46529,22.66933443532661,185.9545238095238
Jul,1820.486136,3826.226178,20.58785596838943,9012.24745,3617.739804,19.466048934617216,185.84869565217394
Aug,1834.77988,3223.200757,17.43270892913126,4963.615070000001,2356.400284,12.744611139185778,184.89385499999997
Sep,1495.7785,3451.552429,18.653840915006008,6046.82889,2620.565759,14.162791318183965,185.03172857142854
Oct,1551.30964,3290.192343,17.839024216876023,5122.32704,2186.702584,11.856036451508263,184.43791
Nov,1206.47083,2249.332397,12.172489352675116,4579.03635,1991.885415,10.77928901845464,184.78820000000002
Dec,1928.3109800000002,3106.526088,16.596268282828984,6489.93085,2478.023689,13.238564489354314,187.18220476190476
2021,26749.25773,63222.485357000005,317.88876015787105,56176.253699999994,25080.017695,126.10475030808452,198.88241825726155
Jan,1924.63266,3681.284802,19.325160979573017,4957.19866,2329.362607,12.228151251871784,190.49180526315786
Feb,1864.43394,3262.354193,16.810495884701155,2884.10102,1090.583918,5.619640106766378,194.06650555555552
Mar,2908.2341,5705.755725,28.965794787345942,3699.48358,1440.625583,7.313468541904431,196.98253636363634
Apr,2006.39544,4432.807449,22.453343587492935,3744.7529900000004,1678.705035,8.503085542642381,197.42304444444446
May,1434.2887299999998,3619.553623,18.135424813339498,4758.21034,2019.376712,10.117892520661442,199.58471666666668
Jun,1415.3817400000003,3611.9662730000005,18.07645610952721,4881.73198,2239.299598,11.206804781626188,199.8160619047619
Jul,3693.1018599999998,9596.599654,47.98833217312104,6291.35188,3034.723188,15.175302674892313,199.97777000000002
Aug,1752.1751900000002,4151.633715,20.706761216630458,6994.679590000001,3014.024128,15.032799664904648,200.49652727272726
Sep,1968.3961600000002,5044.097304,24.972528929007684,4255.507030000001,1961.844687,9.712783129991642,201.98584285714284
Oct,2103.8958700000003,5625.913627,27.977106890997508,5555.378819999999,2203.71202,10.958839901954299,201.08985789473684
Nov,3157.56959,8164.494668,40.446691221202066,4224.0646400000005,1937.068984,9.596188650486065,201.85815999999997
Dec,2520.7524499999995,6326.024324,31.410409899761163,3929.79317,2130.691235,10.579454272294122,201.39897391304345
2022,25729.91779,97242.84000499999,302.180355898014,41736.69884999999,21664.17126,70.33268232843811,324.55059916666653
Jan,2313.86251,5487.952147,27.240270200433212,3340.70259,1784.482219,8.85754403671345,201.46467368421048
Feb,1998.9848900000002,4849.549828,24.03906600798469,4045.44639,1679.229327,8.323886972194382,201.73619999999997
Mar,2313.59962,6776.699402,26.491344141151366,3045.483640000001,1704.272469,6.662309453071521,255.8080619047619
Apr,2165.2629399999996,7671.334986,24.014915413024834,3747.6227799999997,2349.683105,7.355622081028565,319.4404333333334
May,1682.6570299999998,6800.019751999999,18.94477656020632,3502.31578,2487.299337,6.929587250677494,358.9390315789474
Jun,3570.77073,14253.221842,39.56559705061362,3371.25178,2039.763603,5.662191025259551,360.2428095238095
Jul,1954.78408,8432.693197,23.36751983062379,2929.4122399999997,1451.91337,4.023342682251601,360.87241000000006
Aug,1953.5392599999998,10096.897547,27.969378755156743,2776.71858,1430.35798,3.9622293790598677,360.99827727272725
Sep,1448.5294200000005,6821.327479,18.823552765418714,3227.88809,1409.21488,3.8887490350165614,362.38257272727253
Oct,1925.07792,7990.012085,22.00205651959036,3580.7670799999996,1651.286212,4.54713862506558,363.14842105263165
Nov,2369.23458,9330.637844,25.676364005228486,4871.684020000001,2234.648317,6.1493806286629695,363.3940476190476
Dec,2033.6148099999998,8732.493896,24.045514648581825,3297.40588,1442.020441,3.9707011594365644,363.16518999999994
2023,24503.15367,99118.048064846,302.66354860267177,48808.17415499999,26733.741278,82.17131765417525,327.5330566115703
Jan,2033.5558600000004,8639.111283,23.837109251757152,2808.19166,1517.721472,4.187709980422726,362.422775
Feb,2095.6996,8225.757764,22.72455573960213,2921.8431499999992,1513.760124,4.181927951340171,361.976615
Mar,2374.04529,9625.150394,29.21396615575929,2941.5348099999997,1236.869778,3.7541098429067836,329.47085454545453
Apr,2470.8996199999997,9216.886804,28.675134988311886,2451.1461,1022.387811,3.180803791374164,321.42435625
May,2137.801675,8126.346806,26.200173291813027,4708.324335,1902.033028,6.132349028416775,310.16385714285724
Jun,1576.48714,6401.204071,21.248021989557735,5354.0230599999995,1936.439069,6.4277750659373885,301.261175
Jul,1496.5533000000003,6579.464298,20.606524440944185,4874.110900000001,2423.314821,7.589690258250685,319.29034499999995
Aug,1517.6723649999997,6523.00227,20.284455493025458,5321.51204,3239.116024,10.072617194654692,321.5764047619049
Sep,2188.0308899999995,9303.772278,28.824837842784362,3031.8431099999993,2160.521884,6.693703489427448,322.76928421052634
Oct,1931.1593,7943.881328,24.463014027263824,5184.05121,3450.507602,10.6257649609373,324.73027727272734
Nov,2539.1625299999996,9690.336971846,29.521206087883005,5249.66637,3661.510994,11.15464002551935,328.25003636363635
Dec,2142.0861000000004,8843.133797,27.064549293969645,3961.92741,2669.558671,8.17022606498776,326.7423263157895
2024,20502.147869999993,78969.17907604919,260.2322052863748,53192.031347,33740.13295100001,111.5038303507524,302.118046694215
Jan,2015.8455500000002,8616.951587,26.829826451234688,4766.225379999999,2808.483259,8.7445215015304,321.170604761905
Feb,2034.69037,7603.15140695068,24.323848256730727,4885.27089,3503.534902,11.20843802222611,312.58011999999997
Mar,2064.83907,7205.236052,23.572332195227908,4656.37075,2981.889136,9.755416862938485,305.664963157895
Apr,2389.95239,9548.348227,31.88914129069747,4348.1899300000005,2963.431694,9.897135059242425,299.423184210526
May,1727.1999899999998,6365.306427,21.23947022869304,4642.93549,3022.757539,10.086202368172014,299.69233499999996
Jun,1950.18106,7767.8433075,25.567921342421936,7244.7593799999995,4092.224509,13.469591264878026,303.81207777777786
Jul,2050.4954299999995,7931.701380603,26.112086202424063,4667.62099,2637.173608,8.681883151987563,303.7559434782609
Aug,1302.12034,5051.607953,16.801265557426575,4255.82962,2671.331701,8.88464697142998,300.66829999999993
Sep,1409.5531399999998,5941.2367957755,19.72846399317119,2551.39629,1797.821649,5.969844476432881,301.15049999999997
Oct,1804.14646,6679.437188,22.73578994263041,4627.12213,2954.606736,10.057032684349704,293.78513809523804
Nov,1753.1240699999998,6258.358751219999,21.43205982571679,6546.310497,4306.878218,14.749117987564809,292.009205
2025,14570.49851,53272.36366541394,178.3669121737811,32652.667155000003,19437.747584,65.15620298690416,298.2775
Jan,1700.71934,6749.089691,22.78715206074203,6311.996099999999,3491.775329,11.789384795104294,296.17960476190484
Feb,1480.39065,4982.621438905,16.787613775317215,4149.77522,2443.738984,8.233526615277801,296.8034352941176
Mar,1791.04065,6516.0255918125495,22.020367398195145,4342.71486,2564.721073,8.667261892328362,295.90903157894735
Apr,2761.72266,9747.038777,32.64998415188103,3181.6777700000002,1870.082666,6.264278906090518,298.531194736842
May,1556.3403800000003,4960.70492,16.568035498651614,4199.395800000001,2670.11308,8.917790718915407,299.4141894736842
Jun,1732.75469,6148.6727823976,20.50231641955354,4887.996905,2886.577106,9.625088094795968,299.90136999999993
Jul,3547.5301400000003,14168.2104642988,47.0514428694405,5579.1105,3510.739346,11.658871964391807,301.1217
,,,,,,,
"Source :  Statistics Division/ Ministry of Fisheries, Aquatic and Ocean Resources ",,,,,,,
