--- 01-T1+1.1.csv ---

Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Sep,15140,22720,37860,11190,1020,420,12630,50490,,,
Oct,16040,24010,40050,10700,940,270,11910,51960,,,
Nov,15660,21920,37580,7570,400,210,8180,45760,,,
Dec,14890,21170,36060,7380,400,400,8180,44240,,,
2018,190350,249020,439370,71020,8490,8180,87690,527060,,,
Jan,17020,19710,36730,5240,230,230,5700,42430,,,
Feb,18340,19240,37580,4420,310,730,5460,43040,,,
Mar,18020,22470,40490,4180,730,1610,6520,47010,,,
Apr,19070,21050,40120,4060,600,1000,5660,45780,,,
May,14050,18330,32380,4340,580,290,5210,37590,,,
Jun,14680,18560,33240,4440,640,220,5300,38540,,,
Jul,12740,19290,32030,4940,510,270,5720,37750,,,
Aug,16780,20980,37760,6690,1330,380,8400,46160,,,
Sep,15030,23400,38430,7390,900,680,8970,47400,,,
Oct,15810,22860,38670,9710,1440,880,12030,50700,,,
Nov,15250,22340,37590,7930,580,860,9370,46960,,,
Dec,13560,20790,34350,7680,640,1030,9350,43700,,,
2019,172910,242580,415490,73230,10710,6400,90340,505830,,,
Jan,13780,19260,33040,6000,580,470,7050,40090,,,
Feb,17100,21440,38540,5670,600,670,6940,45480,,,
Mar,18890,21760,40650,5530,600,670,6800,47450,,,
Apr,16070,19300,35370,5680,570,570,6820,42190,,,
May,13760,19420,33180,5680,520,730,6930,40110,,,
Jun,14090,18070,32160,5710,780,500,6990,39150,,,
Jul,13010,19570,32580,6130,890,830,7850,40430,,,
Aug,12220,20730,32950,6520,1480,570,8570,41520,,,
Sep,13260,20600,33860,7390,1520,270,9180,43040,,,
Oct,14110,21550,35660,7540,1760,290,9590,45250,,,
Nov,13870,20160,34030,5870,750,310,6930,40960,,,
Dec,12750,20720,33470,5510,660,520,6690,40160,,,
2020,144370,182560,326930,84310,10140,7360,101810,428740,,,
Jan,15500,19730,35230,4520,410,525,5455,40685,,,
Feb,13830,23370,37200,5480,425,250,6155,43355,,,
Mar,13820,16490,30310,5205,500,480,6185,36495,,,
Apr,9170,12790,21960,5630,375,530,6535,28495,,,
May,8970,10080,19050,6380,470,445,7295,26345,,,
Jun,9790,10360,20150,7875,695,630,9200,29350,,,
Jul,11900,16310,28210,7290,1265,715,9270,37480,,,
Aug,12860,17300,30160,8080,2230,815,11125,41285,,,
Sep,11930,16920,28850,8350,1810,330,10490,39340,,,
Oct,11590,15020,26610,9345,735,550,10630,37240,,,
Nov,10840,12660,23500,8815,655,1040,10510,34010,,,
Dec,14170,11530,25700,7340,570,1050,8960,34660,,,
2021,153415,178260,331675,80720,9105,14410,104235,435910,,,
Jan,13335,14080,27415,6530,350,880,7760,35175,,,
Feb,10730,17710,28440,6545,305,690,7540,35980,,,
Mar,14580,16900,31480,6560,310,430,7300,38780,,,
Apr,15910,12710,28620,6680,330,705,7715,36335,,,
May,11410,12950,24360,6670,380,1040,8090,32450,,,
Jun,11010,13100,24110,6705,600,1670,8975,33085,,,
Jul,12190,13640,25830,6760,590,1720,9070,34900,,,
Aug,13770,13280,27050,7010,845,2540,10395,37445,,,
Sep,12380,15230,27610,7180,890,1745,9815,37425,,,
Oct,12740,16540,29280,7685,1655,800,10140,39420,,,
Nov,11950,15260,27210,6730,1820,700,9250,36460,,,
Dec,13410,16860,30270,5665,1030,1490,8185,38455,,,
2022,131170,149440,280610,94860,7680,14080,116620,397230,,,
Jan,11020,18810,29830,5300,185,1555,7040,36870,,,
Feb,10420,18010,28430,5215,265,790,6270,34700,,,
Mar,12360,16130,28490,5965,345,885,7195,35685,,,
Apr,13710,13360,27070,6530,200,1280,8010,35080,,,
May,10640,10800,21440,7140,285,1760,9185,30625,,,
Jun,9830,6890,16720,8175,530,1650,10355,27075,,,
Jul,8270,6550,14820,8905,1060,1675,11640,26460,,,
Aug,9160,7760,16920,9960,1995,1250,13205,30125,,,
Sep,10670,11210,21880,10220,1035,885,12140,34020,,,
Oct,11040,13100,24140,9820,585,630,11035,35175,,,
Nov,12520,14220,26740,9645,655,580,10880,37620,,,
Dec,11530,12600,24130,7985,540,1140,9665,33795,,,
2023,128950,164995,293945,93440,8085,11600,113125,407070,,,
Jan,11220,14170,25390,6710,475,860,8045,33435,,,
Feb,11610,14670,26280,6530,495,910,7935,34215,,,
Mar,12490,14710,27200,6460,460,1070,7990,35190,,,
Apr,11900,12990,24890,5880,390,1180,7450,32340,,,
May,8360,13520,21880,6330,410,1450,8190,30070,,,
Jun,8320,10780,19100,6565,550,935,8050,27150,,,
Jul,10220,10730,20950,7280,860,990,9130,30080,,,
Aug,11510,12060,23570,9600,2160,550,12310,35880,,,
Sep,10240,13570,23810,10055,1055,610,11720,35530,,,
Oct,10640,16345,26985,9965,570,755,11290,38275,,,
Nov,11260,16720,27980,9125,295,1120,10540,38520,,,
Dec,11180,14730,25910,8940,365,1170,10475,36385,,,
2024,143390,165040,308430,87210,7800,7320,102330,410760,,,
Jan,10140,15270,25410,12750,280,680,13710,39120,,,
Feb,11010,16380,27390,6550,230,480,7260,34650,,,
Mar,12570,14290,26860,6890,400,560,7850,34710,,,
Apr,11410,13430,24840,7080,355,640,8075,32915,,,
May,11100,10380,21480,7015,500,515,8030,29510,,,
Jun,12050,12880,24930,6935,715,780,8430,33360,,,
Jul,12010,13410,25420,7635,1380,725,9740,35160,,,
Aug,12560,13670,26230,8135,1135,905,10175,36405,,,
Sep,12480,14380,26860,7385,1565,450,9400,36260,,,
Oct,12580,14990,27570,5710,570,550,6830,34400,,,
Nov,13040,12280,25320,6115,340,465,6920,32240,,,
Dec,12440,13680,26120,5010,330,570,5910,32030,,,
2025,123040,141980,265020,37530,5250,6190,48970,313990,,,
Jan†,13920,15390,29310,3775,245,470,4490,33800,,,
Feb†,14520,17230,31750,3325,235,265,3825,35575,,,
Mar†,13885,16380,30265,3520,285,280,4085,34350,,,
Apr†,11790,13640,25430,4890,240,480,5610,31040,,,
May†,9090,11820,20910,3890,290,790,4970,25880,,,
Jun†,9150,11990,21140,4265,360,785,5410,26550,,,
Jul†,11230,13670,24900,3970,530,700,5200,30100,,,
Aug†,12860,14260,27120,3405,895,1160,5460,32580,,,
Sep†,12640,14070,26710,3290,1570,620,5480,32190,,,
Oct*,13955,13530,27485,3200,600,640,4440,31925,,,
"Source: Statistics Division of Ministry of Fisheries, Aquatic and Ocean Resources",,,,,,,,,,,
Estimated based on the summaries and detailed reports provided by the FIs/ EOs ,,,,,,,,,,,
† Revised,,,,,,,,,,,
* Provisional,,,,,,,,,,,
