Table 2.1:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85
Shark fins,31.895,38.5244,35.712,52.436,86.4029,90.87835,55.45413,7.748,4.089,4.0585,0,2.157,6.1152,6.4505,4.2638,3.26933,5.547,3.045,8.7108,55.45413,55.45413,4.725,5.15385,11.08645,9.33675,4.6938,0.801,16.62,5.93955,0.49985,6.678,29.79555,0,95.3298,95.3298,0,4.7232,8.0879,14.9011,1.63,11.7651,3.2165,3.84,4.383,8.15526,13.3318,5.1716,79.20546,79.20546,4.5646,5.6353,11.8491,6.1825,12.3325,7.47365,8.78111,8.7585,13.19265,1.98585,8.04395,10.9433,99.74301,28.2315,5.9015,5.55539,4.70935,8.9034,12.09705,12.14665,8.0109,7.7005,6.12276,5.19575,8.81995,14.5923,99.7555,25.06964,4.1698,0.525,3.4498,12.4201,20.5647,-27.1568992083311,-17.9697035936695,0.265904278519794
Fish maws,2.346,2.22535,1.389,6.96559,4.73322,3.5339,2.1271,0.195,0.046,0.144,0.056,0.02641,0.30038,0.21737,0.22869,0.224,0.11685,0,0.5724,2.1271,2.1271,0,0.0063,0.498,0.80392,0.145,0.12381,0.64407,0.07491,0.2843,0.11903,1.0473,0.23186,3.9785,3.9785,0.043,0.09,0.8384,0.057,0.099,0.9349,0.10614,0.58467,1.5428,0.209,2.3813,0.164,7.05021,7.05021,0.0365,0.4393,0.193,1.7937,0.54713,1.00655,0.05174,0.52066,1.59859,0.2662,0.42347,0,6.87684,2.4625,0.6732,0.218,0.19827,1.62848,1.74448,0.11062,1.5707,0.3432,0.7534,0.52231,0.16405,1.84218,9.76889,2.71795,0,0,1.72134,1.42345,3.14479,27.7072081218274,15.7044831582627,0.0406625487386766
Chank & shells,343.212,288.8383,297.198,354.9789,328.7558,275.11556,220.5886,0.349,58.298,18.91,0,0,22.1,33.785,19.949,7.1706,16.67,30.607,12.75,220.5886,220.5886,15.37041,61.7463,41.809,11.916,1.65,27.55238,0.1095,15.2092,38.0846,9.446,36.816,46.2773,305.98669,305.98669,15.042,32.59168,13.73425,38.81226,28.32354,16.78993,13.578,20.52156,40.8902,10.704,20.3964,19.732,271.11582,271.11582,28.316,7.824,38.75862,32.404,9.70489,26.15206,36.0372,0,8.221,8.822,36.446,36.60835,269.29412,107.30262,31.5927,26.47088,108.71175,7.4822,24.554,71.982,48.47904,5.5738,3.679,58.0383,24.88,53.0988,464.54247,174.25753,31.2318,29.32,20.2301,23.6647,104.4466,-2.66164982737607,-40.0619301788566,1.35050828929406
Food Fish ,18657.872,11806.72161,11101.059205,16250.33323,18031.259453,19885.11003,13857.5074,1912.75092,1700.20153,1250.32272,561.80964,863.28828,1774.73117,1164.51573,945.15704,1018.1882,1048.6463,606.72325,1011.17262,13857.5074,13857.5074,1128.78335,842.49236,2050.97942,1498.04899,883.3568,899.77169,2554.02653,866.67565,790.7641,1186.97727,1880.82346,1547.52756,16130.22718,16130.22718,1537.77651,1144.23891,1418.91043,1266.20924,1028.00978,2100.52565,867.72779,1121.27051,736.15327,1143.1102,1380.6389,1214.46726,14959.03845,14959.03845,1353.52071,1176.72906,1411.40927,1597.08465,1143.717235,845.23497,875.83031,849.69023,1312.04797,1150.10645,1345.20895,1319.63402,14380.213825,5538.74369,1197.70488,1020.87582,1130.20825,1627.46297,1120.9109,1258.24968,1383.42051,742.92043,785.57313,933.34157,1009.80271,1240.41912,13450.88997,4976.25192,1167.40691,780.57186,1095.5633,1979.1695,5022.71157,-9.31677197722073,0.933627371501718,64.9443218833182
Other,515.275,529.3298,494.868415,971.15867,2011.00559,1261.113325,2119.402395,82.96611,219.565952,356.77655,29.22951,41.651525,268.671012,135.964546,432.89511,55.43858,92.62218,51.38088,352.24044,2119.402395,2119.402395,103.40163,318.41952,195.46106,37.23622,119.53476,27.02293,47.55437,48.79899,40.07544,45.90207,79.35583,42.05791,1104.82073,1104.82073,33.14893,34.33657,43.87426,64.21299,31.73619,60.18447,25.43551,22.05494,31.1426,26.93603,37.03415,48.17628,458.27292,458.27292,27.73054,26.08922,46.85211,39.6434,30.72904,31.03729,46.59135,29.44336,28.9828,38.0682,39.32269,22.52093,407.01093,140.31527,36.6604,23.46883,41.83723,26.97193,27.41175,25.91147,24.08767,28.97182,32.32711,34.93775,29.09087,35.5647,367.24153,128.93839,26.38542,46.69478,41.0261,52.02375,166.13005,18.397698269048,28.8445202394725,2.14808341895128
Total,26320.076,17461.13598,17593.035884,24826.783906,27998.0301294,28770.772865,21298.340255,2517.88266,2510.194332,1948.73277,721.85876,1156.200085,2606.335682,1820.486136,1834.77988,1495.7785,1551.30964,1206.47083,1928.31098,21298.340255,21298.340255,1924.63266,1864.43394,2908.2341,2006.39544,1434.28873,1415.38174,3693.10186,1752.17519,1968.39616,2103.89587,3157.56959,2520.75245,26749.25773,26749.25773,2313.86251,1998.98489,2313.59962,2165.26294,1682.65703,3570.77073,1954.78408,1953.53926,1448.52942,1925.07792,2369.23458,2033.61481,25729.91779,25729.91779,2033.55586,2095.6996,2374.04529,2470.89962,2137.801675,1576.48714,1496.5533,1517.672365,2188.03089,1931.1593,2539.16253,2142.0861,24503.15367,8974.20037,2015.84555,2034.69037,2064.83907,2389.95239,1727.19999,1950.18106,2050.49543,1302.12034,1409.55314,1804.14646,1753.12407,2054.11654,22556.26441,8505.32738,1700.71934,1480.39065,1791.04065,2761.72266,7733.8733,-13.82103161131,-9.07024557119401,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.1:  Value of Exported Fish and Fishery Products (Rs.Mn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,2014,2015 (3),2016 (3),2017,2018,2019,2020,   2020   JAN,   2020   FEB,   2020   MAR,   2020    APR,   2020    MAY,   2020    JUN,   2020    JUL,   2020    AUG,   2020   SEP,    2020    OCT,    2020    NOV,    2020    DEC,2020,2020  (JAN-DEC),   2021  JAN,   2021   FEB,   2021    MAR,   2021   APR,   2021   MAY,    2021   JUN,   2021   JUL,   2021   AUG,   2021   SEP,   2021   OCT,   2021    NOV,   2021   DEC,2021, 2021   Jan-Dec,     2022    JAN,    2022    FEB,    2022    MAR,    2022    APR,    2022    MAY,    2022   JUN,   2022   JUL,   2022   AUG,   2022   SEP,   2022   OCT,   2022   NOV,   2022   DEC,2022, 2022  Jan-Dec,    2023   JAN,   2023   FEB, 2023 MAR, 2023 APR,2023 MAY, 2023 JUN, 2023 JUL, 2023 AUG, 2023 SEP, 2023 OCT, 2023 NOV, 2023 DEC,2023, 2023  Jan-Apr, 2024   JAN, 2024     FEB,2024   MAR,2024   APR, 2024    MAY,2024    JUN,2024    JUL,2025    AUG,2024   SEP,2024   OCT,2024   NOV,2024   DEC,2024, 2024  Jan-Apr, 2025   JAN, 2025     FEB, 2025     MAR, 2025     APR, 2025  Jan-Apr,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Live fish,1636.379826,2392.217227,1846.743819,2288.273314,2626.075505,2913.281239,2409.219008,262.426855,228.529572,181.993656,49.042233,85.957121,368.852404,267.188598,116.537373,239.576231,278.809713,150.393256,179.911996,2409.219008,2409.219008,168.087816,199.889109,369.643718,248.217962,180.289411,154.627708,988.567185,191.579647,253.19833,337.988549,683.822164,416.76493,4192.676529,4192.676529,358.257675,291.848655,404.313725,328.006332,455.298481,1100.692591,491.760954,834.872784,623.138742,661.639767,816.588243,776.538928,7142.956877,7142.956877,799.910207,724.094211,782.697325,680.996925,728.861416,615.740302,574.99615,648.512193,817.873816,801.301868,801.795048,664.198927,8640.978388,2987.698668,708.429956,512.398118,582.521591,828.321264,604.575868,717.921237,590.562132,512.38864,652.69483,579.485679,523.536307,579.259876,7392.095498,2631.670929,465.1541,222.72418,511.116837,928.892747,2127.887864,-28.7783642041641,-19.1430873612846,7.60101778311271
Prawns,3375.413208,1970.815966,2464.214591,3213.237193,3485.106051,3521.606584,3235.054829,204.574071,237.69166,144.187899,43.214987,109.35444,367.420919,376.389493,391.770724,258.398315,255.865927,419.11796,427.068434,3235.054829,3235.054829,494.078207,472.895842,389.534062,302.758192,214.620679,425.332238,964.707534,956.812332,1599.053551,929.3505,1042.071136,671.192933,8462.407206,8462.407206,694.21768,657.127851,751.230134,1072.336911,739.712584,2449.178377,2128.697792,1362.755488,1104.902012,804.253255,721.907173,688.175099,13174.494356,13174.494356,631.203843,725.935015,971.016446,920.111759,1125.12283,684.693529,556.861981,754.56104,979.500113,817.435922,1300.837066,925.51014,10392.789684,3248.267063,808.058303,925.07846160768,910.095929,727.511687,571.634342,612.908654,764.253781,569.577903,712.7550658155,1045.236014,705.20619,568.549901,8920.86623142318,3370.74438060768,395.849698,397.564707,584.514183,691.814104,2069.742692,-36.2816341188262,-38.5968659057183,7.3933176999216
Lobsters (4),1148.130085,776.712584,656.754015,781.56231,971.330009,1002.712907,352.071745,85.007142,0.029316,13.121466,15.715441,22.899608,44.572597,15.173255,18.079826,1.618418,3.587126,36.502707,95.764843,352.071745,352.071745,132.738222,41.389365,94.251157,123.554592,37.568517,80.504016,31.770935,30.214828,43.53053,1.858524,139.820833,121.841478,879.042997,879.042997,96.263158,8.013197,71.16181,68.789701,73.007771,97.016098,44.834338,45.983442,0.543562,0,318.986333,235.941241,1060.540651,1060.540651,134.692514,17.854671,194.705616,193.781812,122.389081,79.418467,59.595388,45.488279,75.849161,0,363.918166,149.585501,1437.278656,541.034613,138.052356,24.237013,85.512173,103.65321,47.515542,60.099254,24.768383,25.736237,78.28337,10.293594,40.416903,151.282764,789.850799,351.454752,41.594948,0,193.382633,138.217084,373.194665,-31.0220351835419,6.18569328662826,1.333086829066
Crabs,2617.029388,2049.607443,2623.1323,3336.066033,4315.999644,5028.569627,3068.361521,373.729163,362.669283,321.022477,65.353697,165.609606,249.859369,210.812876,133.691955,366.447859,283.292861,289.413056,246.459319,3068.361521,3068.361521,473.168303,336.974692,444.655099,543.773888,585.689931,452.476359,721.102243,324.914064,344.093239,512.836724,670.192649,702.780016,6112.657207,6112.657207,432.51027,427.121117,795.789653,991.304312,653.984489,469.263135,741.1335,434.005914,481.444518,867.248855,701.370615,801.491112,7796.66749,7796.66749,507.4739,648.190497,701.208587,845.848202,524.939524,648.039416,637.430323,400.586531,406.916339,781.734742,1059.602185,715.578108,7877.548354,2702.721186,871.436384,921.6884037,643.59295,852.941735,537.065788,742.210961,374.562212,385.464908,885.65329582,1005.288319,1029.002458,807.470874,9056.37828852,3289.6594727,968.318533,600.268661,870.220445,807.171798,3245.979437,20.1004178238606,-1.32779809164107,11.5949471970179
Beche de mer,521.273605,481.479861,383.454518,494.456584,1399.865481,2272.306,1580.697116,93.102972,215.808284,38.889165,12.995605,83.272898,218.40581,182.095934,206.94283,123.801807,218.617619,100.37675,86.387442,1580.697116,1580.697116,85.668175,101.631173,107.125696,71.197615,138.56118,43.937312,169.055288,193.0172,212.782778,271.389332,301.905123,271.065436,1967.336308,1967.336308,141.201042,163.801678,143.016464,286.240062,142.151126,762.331188,124.01643,446.122044,318.884906,224.432074,625.106557,428.647806,3805.951377,3805.951377,188.009557,283.795559,472.467997,419.829974,583.961683,447.776712,343.093437,294.326471,559.367325,505.066124,405.772174,393.412093,4896.879106,1364.103087,462.601964,181.099912,319.876748,434.571002,426.932887,269.421468,299.111731,116.672242,124.763417,129.95835,246.71974622,190.235111,3201.96457822,1398.149626,87.912277,35.984911,94.383151,367.850086,586.130425,-57.0318086231265,-58.078133119638,2.09371361105164
Other Moluscus,1139.365468,738.997737,1038.245755,2648.012702,3396.796273,2287.156221,1409.392772,200.389158,241.469142,107.701092,72.426719,70.447181,134.841455,88.30379,109.469458,97.223232,76.35452,100.432997,110.334028,1409.392772,1409.392772,167.763101,182.860328,147.698892,80.913257,142.836164,81.462325,314.82297,182.931947,147.643005,208.108413,329.150912,242.027644,2228.218958,2228.218958,160.60639,253.79437,252.689153,182.108791,241.782304,360.972427,344.971976,271.639399,172.693438,420.48611,683.235365,536.907469,3881.887192,3881.887192,469.913967,894.65041,566.647861,357.371356,467.265679,265.293561,349.183076,454.106579,501.582034,403.609304,817.077238846,537.571523,6084.272588846,2288.583594,480.579681,846.576201,481.015566,456.869712,170.229808,312.330609,244.382463,255.882675,173.961103,278.914187,232.938861,433.472985,4367.153851,2265.04116,300.524958,593.162534,421.004182,532.70214,1847.393814,-19.2778529548438,-18.4388413497969,6.59906636538175
Shark fins,150.720837,171.21752,133.008418,213.576217,339,500.492157,341.186741,77.503099,21.712885,21.539137,0,13.414599,34.389049,42.522664,18.087343,20.10041,27.2589,24.719603,39.939052,341.186741,341.186741,23.135553,37.624473,96.511622,95.065224,24.582011,13.488912,114.358217,49.304141,2.028368,29.668982,194.466343,0,680.233846,680.233846,0,17.958121,163.31724,130.309423,30.267606,82.713014,38.229978,23.517421,36.181944,83.892421,279.722475,36.3043,922.413943,922.413943,62.85968,67.628827,234.520732,63.715636,146.519448,53.752838,141.110978,106.065385,200.33755,21.947445,66.384622,149.395806,1314.238947,428.724875,98.638239,55.291009,93.463595,104.807415,162.472992,112.750422,90.70234,113.60662,61.297912,66.109538,115.448897,100.170532,1174.759511,352.200258,65.84497,10.177376,61.234128,72.478181,209.734655,-51.0794294359524,-40.4501699711986,0.74919213054453
Fish maws,20.076605,6.128117,15.710576,35.878715,67.735724,77.041614,34.085018,1.249412,1.685408,0.793314,2.15029,0.250939,4.295571,7.9576,8.914502,1.053808,2.829881,0,2.904293,34.085018,34.085018,0,0.00196,7.911427,12.855811,2.769793,7.258376,16.008549,3.997084,2.204852,6.16602,11.159475,5.636902,75.970249,75.970249,0.207871,0.548098,9.606138,1.880986,7.127974,30.020755,1.119119,16.103855,41.764428,2.330516,42.735832,2.055929,155.501501,155.501501,14.864402,9.522919,2.262412,32.961339,46.485023,44.613575,1.474265,31.875098,40.942154,5.514539,7.926314,0,238.44204,59.611072,22.853841,8.208697,3.613518,65.280385,52.484381,18.484041,53.532021,1.048338,24.85655,6.42837,2.024098,31.359452,290.173692,99.956441,0,0,38.91679,25.946966,64.863756,8.81159124264699,-35.1079776839994,0.231699504084151
Chank & shells,124.055736,109.285118,113.21851,147.184189,123.212658,149.177723,140.815021,0.319411,36.461376,8.351763,0,0,16.957509,27.06144,22.159497,3.506517,8.857787,11.142758,5.996963,140.815021,140.815021,13.77275,32.361781,20.053661,6.826755,12.781328,12.413695,0.132856,11.979568,19.182725,6.498004,36.443381,28.932299,201.378803,201.378803,7.992423,17.706402,7.57405,28.334195,26.993694,17.549338,12.487293,19.508535,37.79706,14.663583,19.656992,17.967276,228.230841,228.230841,26.573613,5.901389,35.943506,34.855535,6.480914,15.046564,28.668992,0,10.846744,10.405817,32.944467,47.363486,255.031027,103.274043,29.079565,24.787136,31.472604,6.639576,18.331904,27.424712,35.573417,6.725682,2.902117,24.377619,6.672248,20.164995,234.151575,91.978881,26.501005,7.96431,17.645015,28.044766,80.155096,-22.3860191084027,-12.8548911135372,0.286321624560525
Food Fish ,23582.965735,15528.34674169,16877.448833,24689.73933931,29758.73272032,34278.033372,25498.396149,3403.986413,2827.146049,1879.645676,971.248036,1704.015037,3408.401182,2428.271193,1922.158412,2222.709476,1995.331221,1040.720581,1694.762873,25498.396149,25498.396149,1994.01973,1686.083422,3874.808391,2858.541633,2201.740093,2280.227205,6198.970642,2123.031525,2345.746176,3226.367884,4615.777758,3793.083164,37198.397623,37198.397623,3530.312579,2942.843653,4088.305576,4391.307158,4355.841981,8704.921279,4401.735533,6545.548306,3843.79299,4781.927877,4943.798094,4997.725541,57528.060567,57528.060567,5701.666234,4741.079526,5526.440881,5527.432322,4289.17444,3467.45481,3759.28066,3681.314625,5609.672235,4488.646521,4709.474148,5201.832331,56703.468733,21496.618963,4887.670348,4032.430113643,3930.194081,5898.630508,3685.901619,4788.985334,5396.527326,2960.395178,3140.54000014,3443.542145,3271.606013,4294.99751,49731.420175783,18748.925050643,4334.322538,3005.936020905,3648.30109681255,6025.10677,17013.6664257176,-20.8542215173396,-9.2552432752188,60.7744342386205
Other ,481.757686,491.26304875,649.7162256,1381.68623051,1465,1452.539135,1804.694808,94.192885,159.918311,197.802233,57.533,74.071244,215.326245,180.449335,275.388837,117.116356,139.386788,76.512729,216.996845,1804.694808,1804.694808,128.852945,170.642048,153.562,89.10252,78.114516,60.238127,77.103235,83.851379,74.63375,95.680695,139.684894,72.699522,1224.165631,1224.165631,66.383059,68.786686,89.695459,190.717115,73.851742,178.56364,103.706284,96.840359,160.183879,129.137627,177.530165,210.739195,1546.13521,1546.13521,101.943366,107.10474,137.239031,139.981944,85.146768,79.374297,127.769048,106.166069,100.884807,108.219046,124.605543,58.685882,1277.120541,486.269081,109.55095,71.356342,123.877297,69.121733,88.161296,105.3066155,57.725574603,104.10953,83.529135,89.803373,84.78703,94.763931,1082.092807103,373.906322,63.066664,108.838739,75.307131,128.814135,376.026669,-22.6710716982641,0.567079740363427,1.34320301663868
Total,34797.168179,24716.07136344,26801.6475606,39229.67282682,47948.85406532,53482.916579,39873.974728,4796.480581,4333.121286,2915.047878,1289.680008,2329.292673,5063.32211,3826.226178,3223.200757,3451.552429,3290.192343,2249.332397,3106.526088,39873.974728,39873.974728,3681.284802,3262.354193,5705.755725,4432.807449,3619.553623,3611.966273,9596.599654,4151.633715,5044.097304,5625.913627,8164.494668,6326.024324,63222.485357,63222.485357,5487.952147,4849.549828,6776.699402,7671.334986,6800.019752,14253.221842,8432.693197,10096.897547,6821.327479,7990.012085,9330.637844,8732.493896,97242.840005,97242.840005,8639.111283,8225.757764,9625.150394,9216.886804,8126.346806,6401.204071,6579.464298,6523.00227,9303.772278,7943.881328,9690.336971846,8843.133797,99118.048064846,35706.906245,8616.951587,7603.15140695068,7205.236052,9548.348227,6365.306427,7767.8433075,7931.701380603,5051.607953,5941.2367957755,6679.437188,6258.35875122,7271.727931,86240.9070070492,32973.6872729507,6749.089691,4982.621438905,6516.02559181255,9747.038777,27994.7754987176,-21.5984288679795,-15.099651224986,100
Source :  Statistics Division/ Ministry of Fisheries ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note     : (1) Fisheries sector tables are prepared by SU/MFARD based on the monthly custom returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                (2) Live fish weight included water (container),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                (3) EU fish export ban (2015.01.15 - 2016.06.15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                (4) Revised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
