--- 01-RETAIL.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,,"% Change 4th  week September 2020, compared to:",,,,
Sinhala Name,,Common Name,4th week September,3rd week September,4th week September,Last week ,Last Year,,,
4,තලපත්,Sail fish,704,840,735,-0.125,0.04403409090909091,,,පරව් (මධ්‍යම),658.0,,පරව් (මධ්‍යම),765,775
5,බලයා,Skipjack tuna,360,388,408.57,0.053015463917525756,0.13491666666666666,,,පරව් (කුඩා),600.0,,පරව් (කුඩා),662.5,550
6,කෙළවල්ලා,Yellowfin tuna,682.86,666.6666666666666,670,0.005000000000000057,-0.018832557185953218,,,කහ පරව්,600.0,,කහ පරව්,830,716.6666666666666
7,සාලයා (මට්ට),Sardinella,196.43,185,187.14,0.011567567567567494,-0.04729420149671649,,,කබර පරව්,630.0,,කබර පරව්,637.5,750
8,මෝරා,Sharks,613,570,605,0.06140350877192982,-0.013050570962479609,,,ඇට නගුල් පරව්,620.0,,ඇට නගුල් පරව්,650,707.1428571428571
9,හුරුල්ලා,Herrings,356.43,374,388,0.0374331550802139,0.08857279129141765,,,පරාවි,290.0,,පරාවි,500,550
10,කුම්බලා,Indian Mackerel,460,381.6666666666667,471,0.23406113537117898,0.02391304347826087,,,අංජිලා (නයිලෝන්),902.5,,අංජිලා (නයිලෝන්),933,975
11,කාරල්ලා,Pony fish,163.33,146.66666666666666,152.5,0.03977272727272734,-0.0663074756627687,,,අංජිලා (බිලී),1266.6666666666667,,අංජිලා (බිලී),1175,1070
12,කටුවල්ලා,Katuwalla,­,,,,,,,බලයා (ටැංකි),302.5,,බලයා (ටැංකි),300,327.5
13,හාල්මැස්සා,Anchovy,282.5,,412.5,,0.46017699115044247,,,බලයා (ලොකු),336.6666666666667,,බලයා (ලොකු),388,408.57142857142856
14,ඉස්සා (M),"Prawns (M) 3""",1028.57,987.5,1033.33,0.04641012658227841,0.004627784205255832,,,බලයා (මධ්‍යම),360.0,,බලයා (මධ්‍යම),0,400
15, කොප්පරා,Marlins,892,835,913,0.09341317365269461,0.023542600896860985,,,බලයා (කුඩා),217.5,,බලයා (කුඩා),310,341.6666666666667
16,අලගොඩුවා,Frigate tuna,360,320,415,0.296875,0.1527777777777778,,,කෙලවල්ලා( ලොකු),728.0,,කෙලවල්ලා( ලොකු),666.6666666666666,670
